,date,username,displayname,location,language,tweet
0,2022-12-04 23:24:54+00:00,ashawo6hrs,🇬🇭E_levy GH© ✋🇬🇭,Heaven,en,@headupagain How much
1,2022-12-04 22:45:09+00:00,ashawo6hrs,🇬🇭E_levy GH© ✋🇬🇭,Heaven,und,@kvng_baff @Kayjnr10 😂 💔
2,2022-12-04 22:25:47+00:00,UKnowIGotSoul,Howard E. Levy II,"Dallas, TX",en,I would have loved to have heard this discussed on @IronLordPodcast today....We need Buck on this @kingdavidotw Let's go! https://t.co/0sMqFOKQZc
3,2022-12-04 21:51:29+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,"@EinhornOmer וואליד באדיר מוסר ד""ש"
4,2022-12-04 21:50:53+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@francoyaniv אשמח לשמוע מי יש ליונייטד בעמדת החלוץ והמגנים (והבלם כשוראן פצוע רוב הזמן)?
5,2022-12-04 21:40:28+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@LidorUdi9 ואוחנה?
6,2022-12-04 21:38:09+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@shahar_baz אחת שרטה לי את התיק באמצע הרצאה ואני מחייך לה כמו דביל ❤
7,2022-12-04 21:34:43+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@LidorUdi9 מישהו ניסה פיבונאצ'י ויצא לו עקום
8,2022-12-04 21:34:36+00:00,ron_rejwan,Ron,ישראל,iw,@ravid_e_levy חובהההה
9,2022-12-04 21:33:30+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@ron_rejwan חיים שלי אינשאללה בחנוכה טוויטאפ עם נתן
10,2022-12-04 21:24:52+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,"לאן אגיע קודם - 23 שנים או 100 עוקבים?
(((אני חוגג 23 בשבת)))"
11,2022-12-04 21:23:19+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@yaaranezer1 יש פרס למי שלא שם כסף
12,2022-12-04 19:35:54+00:00,AmpongLaurence,laurence ampong-adjei,,en,@DolpheRalph @e_levy_22 @ghanafaofficial Learn not to insult people you don’t know
13,2022-12-04 19:13:45+00:00,AsareRansford18,Asare Ransford,,en,@OnuaSmart I want to ask the government do you do finger print when you go I  foe your ghana card. So why do you have to do another finger print when you register your sim. Ooooh Ghana. Please give me my money. Are you now stealing from the poor. E levy taken so give me my money
14,2022-12-04 19:08:32+00:00,AsareRansford18,Asare Ransford,,en,@OnuaSmart so for you taking your e levy and mtn charges and not giving me my money how do you want me to survive. Please mtn and Nana Addo please if you have taken your share give me my money I beg you. I need to change my visa. My card is registered wit it only finger print
15,2022-12-04 18:58:03+00:00,AsareRansford18,Asare Ransford,,en,@OnuaSmart captain infact government isn't helping at all. Am in dubai and am sent money for my visa. You took your e levy and all charges then my money is blocked. But I have registered only left with my finger print. Y should I do a finger print again as I did with the card.
16,2022-12-04 16:56:27+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@itsNitzka זה הולסום ברמה אחרת
17,2022-12-04 16:14:17+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,אוליבייה ז'ירו - גדול הכובשים הצרפתים.
18,2022-12-04 14:36:08+00:00,ELevyPM,Eduardo Levy,"São Paulo, Brazil",zxx,https://t.co/I0yQzDJ243
19,2022-12-04 13:57:05+00:00,peacefmonline,Peace FM Online,Ghana,en,E-Levy-Are-There-No-Longer-Poor-People-In-Ghana---Soprano-Asks-039Queen039-Ursula https://t.co/8UjP4uAM6Q https://t.co/46ma7E764E
20,2022-12-04 13:01:09+00:00,Cosmic_El,𝓔𝓵- 𝓟𝓻𝓮𝓼𝓲𝓭𝓮𝓷𝓽𝓮𝔂 🌟🌬🇬🇭⚡️💎,earth.,en,@Richard_otis_ I’ll pay the E levy 🙈
21,2022-12-04 12:02:07+00:00,Maria00026821,Maria💤,,pt,"@larabcb_ Calma Lara! Juntando Ps,Tr e Levy deve dar umas 14 mulheres"
22,2022-12-04 07:17:48+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,"לבוקר שגרתי במיוחד

https://t.co/go5ne3JcQN"
23,2022-12-04 00:40:20+00:00,ShanELevy,Shane Levy,"San Francisco, CA",en,@MikeIsaac Slaying berserkers with brok
24,2022-12-03 22:45:14+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@NoamPrinz @Ohad94116833 @roee_politi @IHofshy יש לי אזרחות איטלקית just saying
25,2022-12-03 22:44:06+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@User17799988855 את לא יותר טובה מהם רק אומר
26,2022-12-03 22:38:18+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@AmiramShaked @amitvb99 תשובתך
27,2022-12-03 22:37:13+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@idoavni1 הסר
28,2022-12-03 22:11:34+00:00,DolpheRalph,ME KOTOKO NUMBER Y3- AK-0002946,"Kumasi, Ghana",tl,"@AmpongLaurence @e_levy_22 @ghanafaofficial Wei.
Wotiriho s3 de3 waka mako mu"
29,2022-12-03 21:12:24+00:00,kwabena_k2,kwabena k2,,en,@konkrumah god didn’t want you to use football to cover your wicked governance. Let’s get back to dubious budget. You people have raised VAT by 2.5% and reduce E levy to 1% on all transactions and freeze public sector employment? Then what the sense in free shs if you can’t employ them ?
30,2022-12-03 18:38:07+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,אם זה לא אני https://t.co/2KiQSq82G0
31,2022-12-03 18:33:03+00:00,RodgersResearch,Rodger,,en,"@Northerngold01 Your wife had Shingles?

Should have overdosed on Vitamin C

see:
Vitamin C, Shingles, and Vaccination
Opinion by Thomas E. Levy, MD, JD
https://t.co/mjALCqsh7O

@Northerngold01"
32,2022-12-03 18:31:15+00:00,ravid_e_levy,🇮🇹Ravid Levy🇮🇹,Tel Aviv,iw,@TalAfek11 דקל קינן נגד הפועל
33,2022-12-03 18:27:05+00:00,BrookeMills96,BJ_Brookes,,iw,@ravid_e_levy טוב שכך
