,date,username,displayname,location,language,tweet
0,2022-04-29 23:47:55+00:00,AccraSmall,ACCRA SMALL,"Accra, Ghana",en,@AnnanPerry Rev the sacrifice is not problem oo we ready to pay anything but as to how the sacrifices will be use probably. E- levy is here to stay either NDC or NPP they are the same people.
1,2022-04-29 23:39:08+00:00,Artgodtonique,VOLTABOYINACCRA🇬🇭🇳🇬,"Accra, Ghana",en,"___To escape e-levy, why don’t you let the sender rather to allow cashout so you withdraw from your end??
#tv3 #GlobalGoals #elevy"
2,2022-04-29 23:38:32+00:00,TastyTweets__,Tasty Tweets,Planet Earth,en,Please read while you get ready for E-Levy Sunday...📝 #elevy https://t.co/67UjBRqy7D
3,2022-04-29 23:35:20+00:00,supreme_ebo,E. B. Baiden,"Greater Accra, Ghana",en,@KobbyKyei_ @thecharactersgh They have successfully escaped e levy. Away bus and Never to be seen back 😂
4,2022-04-29 23:27:13+00:00,DzifaJennifer_,Dzifa,,en,Like play like play the e levy is a reality now ….
5,2022-04-29 23:22:36+00:00,BenopaOnyx1,Beno SarkCess,Beno City,en,"@DeanArmani1 Oh I shun sef 
Chale Adey come think about e levy"
6,2022-04-29 23:20:28+00:00,Mubbyjnrr,Goldenflyboy😈🔫,Ghana,en,E Levy doesn’t mean you should withdraw your money from your momo. You will only be charged when you send money
7,2022-04-29 23:13:49+00:00,nii_ayi_gh,Nii Ayi,,en,"Me today

Momo- 0.03
Cash - 100000000000000

E levy shall not overtake me"
8,2022-04-29 23:08:16+00:00,theSummitArt,summit boahen,"Accra, Ghana",en,We aren't talking about this #elevy enough but it's really going to messup the banking sector. Honestly the best way out is to withdraw all your money and walk around with a handcuffed suitcase.
9,2022-04-29 23:05:38+00:00,UglyDrayGh,Ugly Dray 🇬🇭,"Accra, Ghana",en,@kharly_becca ATM transactions are not part of the E levy ?
10,2022-04-29 23:04:44+00:00,UglyDrayGh,Ugly Dray 🇬🇭,"Accra, Ghana",en,"@__winnefred E levy starts on Monday or what ever,  if money piles up in it, going to withdraw when I need it, the charges go bunch . Or"
11,2022-04-29 22:59:03+00:00,iamniiquaye,Honorary Dbee,Ghana ,en,Imagine paying E LEVY on 559 🤦🏾‍♂️ https://t.co/MhWQ21tkfg
12,2022-04-29 22:58:51+00:00,dkbghana,DKB GHANA,GH,fr,Maame water sef vex E levy implementation. https://t.co/QAII35iMfY
13,2022-04-29 22:54:13+00:00,adonis_memes,MeMes.De-Bright,Ghana,ht,"As u dey listen Daddy Lumba
Den some bro too dey vyb plus Akobam MC

#SonOfJacob

#doggy #dubai #sarkodie #elevy https://t.co/TPcDVW042Z"
14,2022-04-29 22:54:09+00:00,dkbghana,DKB GHANA,GH,en,@thecitizendela Hahahaha finally something that E levy can't fix 🤣 🤣
15,2022-04-29 22:52:21+00:00,opaalaa,Opalão,,pt,"Meu dia foi completamente normal e tá tudo bem, só fico triste pq eu não tenho tempo pra sair com meus amigos, principalmente @_GiiiZ_ e levy's"
16,2022-04-29 22:47:06+00:00,KM3ka,"Apis, Rapabo&co",Wide,en,@nsraban @drgyimah Not through the traditional channel..it only applies when you use the bank's electronic channel. So for eg. A bank app on your phone or computer that allows you to do transfer to other banks will attract e levy
17,2022-04-29 22:44:21+00:00,Serwaa_Amihere,Serwaa Amihere,"Accra, Ghana",en,E - Levy starts on Sunday o
18,2022-04-29 22:43:53+00:00,kgbed,Ayigbe James Bond (009)😑™, Stadium St Ho,en,"Am I the only one who doesn't understand shop attendants who expect tips in already expensive&amp; overpriced establishments??
Ah! 
Ur Guinness is GhC12 &amp; when I give u GhC15, its like ur fingers wanna superglue themselves to the GhC1!🙄
I LOOOSE it, in Jesus name 
E levy dey come.🚶🏿‍♂️"
19,2022-04-29 22:43:09+00:00,Eddy_Deland,🇫🇷 Eddφ Deland 🇵🇸,somewhere never far from you ,fr,"@Sht_dono Naulleau et Enthoven c'est , les ennemis des anti-racistes, des arabes et des noirs sont nos amis. Je voulais rester poli mais non...Ce sont deux vrais trous du cul qui parasitent avec E Levy, Godnadel and Co, les medias, de leurs propagandes nauséabondes !"
20,2022-04-29 22:37:58+00:00,__winnefred,Winny💅,find me,en,"Apparently if both are linked to the same Ghana card number, it won’t attract e levy 🤣🤣🤣 https://t.co/nFmyHoVsqI"
21,2022-04-29 22:34:56+00:00,eko_Okutu,Mr OKUTU🔄🇬🇭,Ghana,en,"What's on your mind about the E-levy?

Me: I bore pass any sh*t😡... 
#elevy #taxontax #Twitter"
22,2022-04-29 22:33:24+00:00,AddoQuaye2,Eddie,"Accra, Ghana",en,@Akosuahmay_ Make sure u pay ur e levy on Sunday.
23,2022-04-29 22:33:23+00:00,koffie_kings,Kofi Ghana,Ghana,en,E Levy to Banks 💔 @gyaigyimii https://t.co/51OSMwE9Br
24,2022-04-29 22:23:49+00:00,innocenttt_k,Pumba✌🏾🇬🇭🇳🇬 🔫,Pumbaland,en,"@malikofori No be you p3. For MTN to take their charges and government to take e-levy, I go do Vodafone cash and pay e levy without charges"
25,2022-04-29 22:10:10+00:00,aasiuol,Louisa☮️,"Accra, Ghana",en,My bank hasn’t sent me any e levy message so I’m just going to assume I’m safe🙏🏾
26,2022-04-29 22:10:04+00:00,nsraban,Selah,,en,"Please, is bank transfer to other banks part of e levy? I always thought that was excluded. @konkrumah"
27,2022-04-29 21:59:09+00:00,Braqwekuderick,Qweku Derick,"Senya Beraku, Ghana",en,"So now after #E-levy 
Which #Levy again Mr President and members of parliament"
28,2022-04-29 21:56:54+00:00,_Mayford,Mia Me Dokono👻🇬🇧🇬🇭,Blogger & Writer,fi,"https://t.co/xUoPH2iUCq
#doggy #E-levy"
29,2022-04-29 21:50:16+00:00,soulpee,About40 Clan,GH ,en,Requesting for cheque books ahead of e- levy's opening day. We go start form line for banks again
30,2022-04-29 21:48:53+00:00,Narnahamajhene1,Nana ama Adobea💞,"Greater Accra, Ghana",en,"@mimi_naana I bought papaye recently and i was wondering if the E- levy has touch the vegetables tooo, my sister u can count the vegetables in the rice"
31,2022-04-29 21:46:02+00:00,Badu1Henry,HARVESTER AK-0000143,Ghana,en,@SaddickAdams Including E- levy
32,2022-04-29 21:44:27+00:00,BenopaOnyx1,Beno SarkCess,Beno City,en,I’m not going to eat till e levy is reversed 😒
33,2022-04-29 21:38:28+00:00,drgyimah,#Let'sTalkGhana,Cryptoverse,en,"@nsraban I'm not well informed on the transactions covered under the e levy.

@StatsGH, can you please assist? Thank you"
34,2022-04-29 21:37:58+00:00,JhayBobby,Akata Mmper Pooley07💯🇬🇭🇨🇦🤍,Somewherearoundtheworld,en,Nana Addo want to say that after #E-Levy Ghana will be like Dubai err.
35,2022-04-29 21:37:21+00:00,Bafanajnr21,JNR BAFANA 🏄‍♀️,"Accra, Ghana",es,E Levy obiaaa mame tw3😔
36,2022-04-29 21:37:13+00:00,jlexzis,A-O2,,en,@Amegaxi Take a look at the Implementation from @GTBankGhana’s perspective. It is refreshing to see an e-levy-free ceiling of 20k on daily bank transfers. But whether that is realistic at the commercial level is for another day. https://t.co/e3yRQMdAk9
37,2022-04-29 21:32:12+00:00,nsraban,Selah,,en,"Ah a bank transfer to another bank is part of e levy?!!! So assuming a bank is transferring GHC1,000,000 to another bank, they're going to charge e levy? @drgyimah"
38,2022-04-29 21:30:36+00:00,ocharley32,ocharle,,ht,E levy ...hmmmm
39,2022-04-29 21:30:10+00:00,Benedictkep,Cobblepot🕴🇬🇭,,en,@MoF_Ghana Gold and Diamond couldn't do foko na e- levy.. My friend gerrout!
40,2022-04-29 21:29:28+00:00,_dery6,wiseman,Everywhere,en,"E levy dey Com disrupt Wana money making moves
Ghana Hard 😭😭😭"
41,2022-04-29 21:27:21+00:00,fosuf15,Me-Kay,Eastern  ,en,"He no see anything yet,let him pay e- levy on top https://t.co/dN4Pg9ccV5"
42,2022-04-29 21:26:52+00:00,_MukadasMaestro,Ara Maestro 🇬🇭🐬,,en,The e Levy will bring nothing Buh collapse a lot of online business. We are not in normal times. Me mhom I will rather buy it near me than to buy it online and pay kwasia charges to that short wicked man.
43,2022-04-29 21:26:09+00:00,iphilxx,Phil Yinglin,"Accra, Ghana",en,So by next month  we’ll starting seeing development due to the E- Levy ! Wow 🤩
44,2022-04-29 21:25:07+00:00,ndeme_sung,Sung 👨🏾‍🏫💮📿,"Accra, Ghana",en,"They should have piloted this e~levy on the NPP MPs and foot soldiers. At least instead of GHC 700, they can send them 680 a month."
45,2022-04-29 21:24:48+00:00,_MukadasMaestro,Ara Maestro 🇬🇭🐬,,en,@BenopaOnyx1 The e Levy I Kai aa den my heart cut 😭
46,2022-04-29 21:24:19+00:00,fosuf15,Me-Kay,Eastern  ,en,"Is it not this people who said, if you have registered your Sim with GH card and you do transaction to your own number there will be no charges? Why is my bank also telling me all electronic transfer will be charged ₵1.75 e- levy? Asɛm ooo hmmmmm"
47,2022-04-29 21:23:53+00:00,TheonlyBYP,NY,"Accra, Ghana",en,"This @NPP_GH and @NAkufoAddo government don't care about the ordinary Ghanaian, upon all this hardship in this country this government is still bent on introducing e-levy. Allan shouldn't waste his time and money to contest for the NPP Presidential election . #elevy"
48,2022-04-29 21:22:09+00:00,BenopaOnyx1,Beno SarkCess,Beno City,en,Chale Chale we are thinking about E levy 😒 https://t.co/aMjpf7hRMr
